Name,Latitude,Longitude,Review Count,Review Score,Category Id,Category Type,Attraction Score
Adyar Poonga River Restoration Park,13.019179,80.26510999999999,5,5.0,47,Sights and Landmarks,5.1
Madras War Cemetery,13.014548,80.19439,40,4.5,47,Sights and Landmarks,5.24
Pachaiamman Temple,13.132147,80.13138599999999,4,5.0,47,Sights and Landmarks,5.08
Click Art Museum,12.913126,80.25148,29,4.0,49,Museums,4.55
Abirami Mega Mall,13.08625,80.25571,52,3.5,26,Shopping,4.44
Children's Park,13.010819999999999,80.22448,40,3.5,57,Nature and Parks,4.24
Vaitheeswaran Temple,13.04986,80.09401,5,4.5,47,Sights and Landmarks,4.6
Cotton Alley,13.0755,80.2638,6,4.5,26,Shopping,4.62
St Mary's Church,12.898539999999999,80.08901999999999,102,4.0,47,Sights and Landmarks,5.68
Jain Temple,12.830784,79.70482,20,4.5,47,Sights and Landmarks,4.88
Fort Museum,13.080461,80.28775,164,3.5,49,Museums,5.91
Valluvar Kottam Monument,13.05297,80.24258,85,3.5,47,Sights and Landmarks,4.94
Sri Santhana Srinivasa Perumal Temple,13.07289,80.22811999999999,9,5.0,47,Sights and Landmarks,5.18
Kandhakottam Temple,13.09297,80.22854,14,4.5,47,Sights and Landmarks,4.77
Anna Memorial,13.123320000000001,80.29396,34,4.5,47,Sights and Landmarks,5.14
Narada Gana Sabha,13.0447,80.25795,4,4.5,58,Concerts and Shows,4.58
St. Andrews Church,13.07183,80.18745,26,4.0,47,Sights and Landmarks,4.49
Grand Square Mall,12.972439999999999,80.22122,29,3.5,26,Shopping,4.05
University of Madras,13.06551,80.28354,62,4.0,47,Sights and Landmarks,5.1
Dhandeeswaram Temple,12.98527,80.22508,14,4.0,47,Sights and Landmarks,4.27
Broken Bridge,13.012705,80.27593,34,3.5,47,Sights and Landmarks,4.14
Victory War Memorial,13.08433,80.28905,35,4.0,47,Sights and Landmarks,4.65
Vivekananda House- Multimedia Cultural Museum,13.04919,80.28066,10,5.0,49,Museums,5.2
Madras High Court,13.123320000000001,80.29396,20,4.5,47,Sights and Landmarks,4.88
Sri Hridayaleeswarar Temple,13.124479999999998,80.0317,5,4.5,47,Sights and Landmarks,4.6
Puttaparthi Sairam Temple Sundaram,13.027339999999999,80.2315,21,4.5,47,Sights and Landmarks,4.9
Gandhi Statue,12.99363,80.26195,214,4.0,47,Sights and Landmarks,6.88
