Name,Latitude,Longitude,Review Count,Review Score,Category Id,Category Type,Attraction Score
Maharashtra Nature Park,19.051479999999998,72.85861,34,4.0,57,Nature and Parks,4.64
Raj Bhavan,18.945120000000003,72.79409,15,4.5,47,Sights and Landmarks,4.79
National Centre for the Performing Arts,18.92512,72.82056,116,4.5,58,Concerts and Shows,6.36
Keneseth Eliyahoo Synagogue,18.92824,72.83288,45,4.0,47,Sights and Landmarks,4.82
Nehru Centre,19.0003,72.8161,58,4.0,49,Museums,5.04
Versova Beach,19.13842,72.81039,77,3.0,57;61,Nature and Parks;Outdoor Activities,4.33
Royal Western India Turf Club,18.98,72.82992,32,4.5,53;56,Casinos and Gambling;Fun and Games,5.1
Town Hall (Asiatic Society Library),18.931929,72.83563000000001,71,4.0,60,Traveller Resources,5.24
Madh Island,19.140587,72.79146,78,3.5,57;61,Nature and Parks;Outdoor Activities,4.84
Mumbai G.P.O,18.97277,72.83986999999999,49,4.5,47,Sights and Landmarks,5.39
Brihanmumbai Municipal Corporation building,18.939992999999998,72.834694,57,4.5,47,Sights and Landmarks,5.52
Matunga Market,19.026794,72.85073,32,4.0,26,Shopping,4.6
Vardhman Fantasy,19.289413,72.86688000000001,90,3.0,52,Water and Amusement Parks,4.51
Ambreshwar Shiva Temple,19.19865,73.17662,21,4.5,47,Sights and Landmarks,4.9
The Great Escape Water Park,19.450432,72.94466,55,3.5,52,Water and Amusement Parks,4.49
Horniman Circle Garden,18.93171,72.8342,62,4.0,57,Nature and Parks,5.1
Atria Mall,18.991274,72.81439,54,3.0,26,Shopping,3.97
St. Michael's Church,19.04314,72.84428,60,4.5,47,Sights and Landmarks,5.57
Bhavan's Nature and Adventure Centre,19.10602,72.84145,17,4.5,57,Nature and Parks,4.83
Andheri Market,19.12279,72.84466,27,4.0,26,Shopping,4.51
Flora Fountain,18.92549,72.83197,214,4.0,47,Sights and Landmarks,6.88
National Gallery of Modern Art,18.925959,72.83139,62,3.5,49,Museums,4.6
National Museum of Indian Cinema,18.97075,72.80828000000001,14,4.5,49,Museums,4.77
Mahatma Jyotiba Phule Market,19.0848,72.90424,85,4.0,36;26;47,Food and Drink;Shopping;Sights and Landmarks,5.44
PVR Icon,19.14101,72.8304,48,4.5,58,Concerts and Shows,5.37
Thiruchembur Murugan Temple,19.067520000000002,72.90259,20,4.5,47,Sights and Landmarks,4.88
Yazoo Park,19.46876,72.80846,68,3.5,52,Water and Amusement Parks,4.69
BB Dadar Market,19.020653,72.84264,33,4.0,26,Shopping,4.62
Bhandup Pumping Station,19.212282000000002,72.96833000000001,18,4.5,57,Nature and Parks,4.85
David Sassoon Library and Reading Room,18.92775,72.83107,24,4.0,60;47,Traveller Resources;Sights and Landmarks,4.46
Mahakali Caves,19.149720000000002,72.83579,53,3.5,57,Nature and Parks,4.46
